Altium Designer Pick and Place Locations
C:\Users\delta\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       23/01/23
Time:       02:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"RESET","Yuandi TS-1092S-B3D2-G","BottomLayer","XKB_Connectivity_TS-1101-C-W-Footprint-2","332.5000","112.2500","180",""
"R4","RC0805JR-075K1L","TopLayer","RESC2013X60X35NL10T20","287.2500","113.2500","270","RES SMD 5.1K OHM 5% 1/8W 0805"
"R3","RC0805JR-075K1L","TopLayer","RESC2013X60X35NL10T20","283.2500","113.2500","90","RES SMD 5.1K OHM 5% 1/8W 0805"
"R2","RC2512JK-0710KL","BottomLayer","PCB-rwc9zyhheq7m56byksuk-1","341.7500","112.2500","180","Surface Mount Chip Resistor, Thick Film, Rc Series, 10 Kohm, 1 W, 5%, 200 V, 2512 [6432 Metric]"
"R1","RC2512JK-0710KL","BottomLayer","PCB-rwc9zyhheq7m56byksuk-1","368.2500","94.0000","315","Surface Mount Chip Resistor, Thick Film, Rc Series, 10 Kohm, 1 W, 5%, 200 V, 2512 [6432 Metric]"
"Q2","ASFL1-12.000MHZ-EK-T","BottomLayer","PCB-kqxdmwb8ser6p31oe6p9-1","378.1202","98.8242","135","Oscillator XO 12MHz 30ppm 15pF (Stability) HCMOS/TTL 60% 3.3V 4-Pin SMD T/R"
"Q1","ASEK-32.768KHZ-LRT","BottomLayer","PCB-c01gkmt8w854hec4nwcb-1","377.5000","93.5000","135","ASEK Series 32.768 kHz 3.2 x 2.5 mm 3.3 V ±25 ppm SMT Crystal Clock Oscillator"
"J1","BG306-06-A-1-0400-L-B","BottomLayer","PCB-e99a0jcwo2y0r8vt74ra-1","354.9000","112.1000","270","BG306 Series 6 Position Single Row 2.54 mm Pitch SMT Top Entry Vertical Socket"
"F1","T0603FF1000TM","TopLayer","CAPC1608X90X35NL15T15","283.0000","108.7500","270","FastBlow 13A SMD Fuse 1A 0.042 69m´Î 0603 Fuses ROHS"
"C17","100 nf","TopLayer","CAPC1608X87X35LL15T15","289.0000","98.7500","90","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C13","100 nf","TopLayer","CAPC1608X87X35LL15T15","287.5000","98.7500","270","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C10","1 uf","TopLayer","CAPC1608X90X35LL15T15","286.0000","98.7500","90","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C9","CL10B103KB8NNNC","BottomLayer","CAPC1608X90X35LL15T15","380.0000","95.7500","45","CAP, 0.01UF, 50V, MLCC, 0603; Pojemnosc: 0.01µF; Substancje SVHC: No SVHC (15-Jan-2019)"
"C7","1 uf","TopLayer","CAPC1608X90X35LL15T15","284.5000","98.7500","90","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C6","100 nf","TopLayer","CAPC1608X87X35LL15T15","286.5000","106.5000","90","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
